book	status2	status	PARAGON	tok_length		ParagonURI	local_path
0774IbnKathir.TafsirQuran	pri	pri	quran: tafsir sunni	1570248	1	0000Paragon.QuranTafsirSunni	../data/0774IbnKathir/0774IbnKathir.TafsirQuran/0774IbnKathir.TafsirQuran.Shamela0008473-ara1.mARkdown
1421MuhammadCuthaymin.FatawaNurCalaDarb	pri	pri	z	1564383		z	../data/1421MuhammadCuthaymin/1421MuhammadCuthaymin.FatawaNurCalaDarb/1421MuhammadCuthaymin.FatawaNurCalaDarb.Shamela0002300-ara1
0333AbuMansurMaturidi.Tafsir	pri	pri	z	1552252		z	../data/0333AbuMansurMaturidi/0333AbuMansurMaturidi.Tafsir/0333AbuMansurMaturidi.Tafsir.Shamela0095590-ara1
0786ShamsDinKirmani.Kawakib	pri	pri	z	1546723		z	../data/0786ShamsDinKirmani/0786ShamsDinKirmani.Kawakib/0786ShamsDinKirmani.Kawakib.Sham19Y0013605-ara1
0778NazirJaysh.TamhidQawacid	pri	pri	z	1544502		z	../data/0778NazirJaysh/0778NazirJaysh.TamhidQawacid/0778NazirJaysh.TamhidQawacid.Sham19Y0016826-ara1
0360Tabarani.MucjamKabir	pri	pri	z	1539036		z	../data/0360Tabarani/0360Tabarani.MucjamKabir/0360Tabarani.MucjamKabir.Shamela0001733-ara1
0362AbuFarajIsbahani.Aghani	pri	pri	z	1527426		z	../data/0362AbuFarajIsbahani/0362AbuFarajIsbahani.Aghani/0362AbuFarajIsbahani.Aghani.JK000927-ara1.completed
0954HattabRucayniMaghribi.MawahibJalil	pri	pri	z	1525019		z	../data/0954HattabRucayniMaghribi/0954HattabRucayniMaghribi.MawahibJalil/0954HattabRucayniMaghribi.MawahibJalil.ShamAY0034227-ara1
1225ThanaAllahPanipati.TafsirMazhari	pri	pri	z	1505413		z	../data/1225ThanaAllahPanipati/1225ThanaAllahPanipati.TafsirMazhari/1225ThanaAllahPanipati.TafsirMazhari.Shamela0021766-ara1
1366AnastasKarmali.MajallatLughatCarab	pri	pri	z	1502594		z	../data/1366AnastasKarmali/1366AnastasKarmali.MajallatLughatCarab/1366AnastasKarmali.MajallatLughatCarab.Sham19Y0036540-ara1
1307Qannawji.FathBayan	pri	pri	z	1501703		z	../data/1307Qannawji/1307Qannawji.FathBayan/1307Qannawji.FathBayan.Shamela0037458-ara1
1420IbnBaz.FatawaNurCalaDarb	pri	pri	z	1500246		z	../data/1420IbnBaz/1420IbnBaz.FatawaNurCalaDarb/1420IbnBaz.FatawaNurCalaDarb.Shamela0000107-ara1
